cost,publisher,university,year
0.0,Institute of Physics Publishing,UCL,2013
0.0,Institute of Physics Publishing,University College Birmingham,2013
0.0,Institute of Physics Publishing,University for the Creative Arts,2013
0.0,Institute of Physics Publishing,University of the Arts London,2013
0.0,Institute of Physics Publishing,University of the Highlands and Islands,2013
0.0,Institute of Physics Publishing,University of the West of England,2013
3311.0,Institute of Physics Publishing,University of the West of Scotland,2013
6546.0,Institute of Physics Publishing,University of Ulster,2013
1654.0,Institute of Physics Publishing,University of Wales Trinity St David,2013
45314.0,Institute of Physics Publishing,University of Warwick,2013
0.0,Institute of Physics Publishing,University of West London,2013
0.0,Institute of Physics Publishing,University of Westminster,2013
0.0,Institute of Physics Publishing,University of Winchester,2013
0.0,Institute of Physics Publishing,University of Wolverhampton,2013
0.0,Institute of Physics Publishing,University of Worcester,2013
0.0,Institute of Physics Publishing,Writtle College,2013
43447.0,Institute of Physics Publishing,University of York,2013
0.0,Institute of Physics Publishing,York St John University,2013
,Institute of Physics Publishing,,2013
21800.0,Institute of Physics Publishing,University of Aberdeen,2014
0.0,Institute of Physics Publishing,Abertay University,2014
2700.0,Institute of Physics Publishing,Aberystwyth University,2014
335.0,Institute of Physics Publishing,Anglia Ruskin University,2014
0.0,Institute of Physics Publishing,Arts University Bournemouth,2014
0.0,Institute of Physics Publishing,Aston University,2014
6037.0,Institute of Physics Publishing,Bangor University,2014
20607.0,Institute of Physics Publishing,University of Bath,2014
379.0,Institute of Physics Publishing,Bath Spa University,2014
0.0,Institute of Physics Publishing,University of Bedfordshire,2014
0.0,Institute of Physics Publishing,"Birkbeck, University of London",2014
45808.0,Institute of Physics Publishing,University of Birmingham,2014
0.0,Institute of Physics Publishing,Birmingham City University,2014
0.0,Institute of Physics Publishing,Bishop Grosseteste University,2014
349.0,Institute of Physics Publishing,University of Bolton,2014
1750.0,Institute of Physics Publishing,Bournemouth University,2014
1900.0,Institute of Physics Publishing,University of Bradford,2014
0.0,Institute of Physics Publishing,University of Brighton,2014
67106.0,Institute of Physics Publishing,University of Bristol,2014
11568.0,Institute of Physics Publishing,Brunel University,2014
,Institute of Physics Publishing,Buckinghamshire New University,2014
60919.0,Institute of Physics Publishing,University of Cambridge,2014
345.0,Institute of Physics Publishing,Canterbury Christ Church University,2014
21402.0,Institute of Physics Publishing,Cardiff University,2014
0.0,Institute of Physics Publishing,Cardiff Metropolitan University,2014
12238.0,Institute of Physics Publishing,University of Central Lancashire,2014
,Institute of Physics Publishing,Central School of Speech and Drama,2014
0.0,Institute of Physics Publishing,University of Chester,2014
0.0,Institute of Physics Publishing,University of Chichester,2014
8736.0,Institute of Physics Publishing,City University London,2014
0.0,Institute of Physics Publishing,Courtauld Institute of Art,2014
0.0,Institute of Physics Publishing,Coventry University,2014
13400.0,Institute of Physics Publishing,Cranfield University,2014
1158.0,Institute of Physics Publishing,University of Cumbria,2014
4324.0,Institute of Physics Publishing,De Montfort University,2014
0.0,Institute of Physics Publishing,University of Derby,2014
7437.0,Institute of Physics Publishing,University of Dundee,2014
49532.0,Institute of Physics Publishing,Durham University,2014
5223.0,Institute of Physics Publishing,University of East Anglia,2014
,Institute of Physics Publishing,University of East London,2014
,Institute of Physics Publishing,Edge Hill University,2014
24905.0,Institute of Physics Publishing,University of Edinburgh,2014
0.0,Institute of Physics Publishing,Edinburgh Napier University,2014
594.0,Institute of Physics Publishing,University of Essex,2014
17028.0,Institute of Physics Publishing,University of Exeter,2014
0.0,Institute of Physics Publishing,Falmouth University,2014
38550.0,Institute of Physics Publishing,University of Glasgow,2014
6224.0,Institute of Physics Publishing,Glasgow Caledonian University,2014
0.0,Institute of Physics Publishing,University of Gloucestershire,2014
0.0,Institute of Physics Publishing,Glyndŵr University,2014
0.0,Institute of Physics Publishing,"Goldsmiths, University of London",2014
1414.0,Institute of Physics Publishing,University of Greenwich,2014
0.0,Institute of Physics Publishing,Harper Adams University,2014
20030.0,Institute of Physics Publishing,Heriot-Watt University,2014
13499.0,Institute of Physics Publishing,University of Hertfordshire,2014
0.0,Institute of Physics Publishing,Heythrop College,2014
3476.0,Institute of Physics Publishing,University of Huddersfield,2014
3018.0,Institute of Physics Publishing,University of Hull,2014
53923.0,Institute of Physics Publishing,Imperial College London,2014
2118.0,Institute of Physics Publishing,Institute of Cancer Research,2014
340.0,Institute of Physics Publishing,"Institute of Education, University of London",2014
4769.0,Institute of Physics Publishing,Keele University,2014
17648.0,Institute of Physics Publishing,University of Kent,2014
30530.0,Institute of Physics Publishing,King's College London,2014
431.0,Institute of Physics Publishing,Kingston University,2014
34268.0,Institute of Physics Publishing,Lancaster University,2014
,Institute of Physics Publishing,University of Leeds,2014
0.0,Institute of Physics Publishing,Leeds College of Art,2014
0.0,Institute of Physics Publishing,Leeds Beckett University (formerly Leeds Metropolitan University),2014
0.0,Institute of Physics Publishing,Leeds Trinity University,2014
24240.0,Institute of Physics Publishing,University of Leicester,2014
0.0,Institute of Physics Publishing,University of Lincoln,2014
46518.0,Institute of Physics Publishing,University of Liverpool,2014
0.0,Institute of Physics Publishing,Liverpool Hope University,2014
,Institute of Physics Publishing,Liverpool Institute for Performing Arts,2014
9783.0,Institute of Physics Publishing,Liverpool John Moores University,2014
0.0,Institute of Physics Publishing,University of London (central),2014
0.0,Institute of Physics Publishing,London Business School,2014
,Institute of Physics Publishing,London Metropolitan University,2014
0.0,Institute of Physics Publishing,London School of Economics,2014
0.0,Institute of Physics Publishing,London School of Hygiene and Tropical Medicine,2014
0.0,Institute of Physics Publishing,London South Bank University,2014
28348.0,Institute of Physics Publishing,Loughborough University,2014
56557.0,Institute of Physics Publishing,University of Manchester,2014
0.0,Institute of Physics Publishing,Manchester Metropolitan University,2014
0.0,Institute of Physics Publishing,Middlesex University,2014
46824.0,Institute of Physics Publishing,Newcastle University,2014
335.0,Institute of Physics Publishing,Newman University,2014
0.0,Institute of Physics Publishing,University of Northampton,2014
16766.0,Institute of Physics Publishing,Northumbria University,2014
0.0,Institute of Physics Publishing,Norwich University of the Arts,2014
55137.0,Institute of Physics Publishing,University of Nottingham,2014
2900.0,Institute of Physics Publishing,Nottingham Trent University,2014
49480.0,Institute of Physics Publishing,Open University,2014
43127.0,Institute of Physics Publishing,University of Oxford,2014
2878.0,Institute of Physics Publishing,Oxford Brookes University,2014
0.0,Institute of Physics Publishing,Plymouth University,2014
7500.0,Institute of Physics Publishing,University of Portsmouth,2014
0.0,Institute of Physics Publishing,"Queen Margaret University, Edinburgh",2014
3244.0,Institute of Physics Publishing,"Queen Mary, University of London",2014
45539.0,Institute of Physics Publishing,Queen's University Belfast,2014
0.0,Institute of Physics Publishing,Ravensbourne,2014
4248.0,Institute of Physics Publishing,University of Reading,2014
0.0,Institute of Physics Publishing,Robert Gordon University,2014
0.0,Institute of Physics Publishing,University of Roehampton,2014
,Institute of Physics Publishing,Rose Bruford College,2014
0.0,Institute of Physics Publishing,Royal Academy of Music,2014
0.0,Institute of Physics Publishing,Royal Agricultural University,2014
